,index,number of fov,result_GEO,time1,result_MC,time2,error
0,99,16,3.231827428564664e-05,55.40525412559509,2.1e-05,0.008558988571166992,1.1318274285646644e-05
1,69,58,0.004877098969084615,268.60425901412964,0.004048,0.00803995132446289,0.000829098969084615
2,32,61,0.003193691271255104,716.1732661724091,0.003603,0.008591175079345703,-0.00040930872874489575
3,96,61,0.004896494269505417,234.64851808547974,0.004776,0.00921487808227539,0.00012049426950541675
4,91,89,0.006625610252848768,714.7028501033783,0.006453,0.010239124298095703,0.00017261025284876722
5,19,91,0.004431955899662101,512.750679731369,0.004269,0.011234045028686523,0.0001629558996621011
6,17,93,0.005339402531604464,556.4596991539001,0.005415,0.011935949325561523,-7.559746839553606e-05
7,33,97,0.006073151965790205,515.0404949188232,0.005114,0.012790918350219727,0.0009591519657902057
8,10,105,0.008868050885329883,571.2147288322449,0.008361,0.012974977493286133,0.0005070508853298825
9,26,108,0.007583825766705762,574.9620041847229,0.007424,0.012223243713378906,0.00015982576670576197
10,31,109,0.006422378403376348,602.180233001709,0.006219,0.01258087158203125,0.00020337840337634853
11,56,112,0.0059683771749358665,644.7536277770996,0.006169,0.013303995132446289,-0.00020062282506413346
12,68,121,,-1.0,0.004986,0.011195182800292969,
13,86,126,,-1.0,0.003569,0.013921022415161133,
14,16,136,,-1.0,0.008897,0.013882875442504883,
15,25,140,,-1.0,0.004732,0.015103340148925781,
16,20,146,,-1.0,0.00686,0.01575303077697754,
17,24,161,,-1.0,0.010288,0.017148971557617188,
18,88,171,,-1.0,0.007657,0.016035079956054688,
19,41,181,,-1.0,0.010993,0.01801896095275879,
20,4,188,,-1.0,0.005644,0.01845693588256836,
21,52,188,,-1.0,0.008032,0.015605926513671875,
22,13,200,,-1.0,0.009738,0.020432233810424805,
23,54,200,,-1.0,0.012278,0.01997208595275879,
24,50,209,,-1.0,0.007287,0.01883697509765625,
25,47,215,,-1.0,0.006462,0.02031397819519043,
26,76,217,,-1.0,0.009797,0.018308162689208984,
27,84,226,,-1.0,0.006993,0.017501354217529297,
28,82,231,,-1.0,0.011748,0.0185239315032959,
29,87,238,,-1.0,0.013437,0.022534847259521484,
30,36,240,,-1.0,0.009916,0.024313926696777344,
31,23,241,,-1.0,0.013397,0.021583080291748047,
32,43,248,,-1.0,0.010119,0.020976781845092773,
33,83,251,,-1.0,0.00953,0.02164292335510254,
34,28,252,,-1.0,0.010997,0.021248817443847656,
35,71,252,,-1.0,0.011003,0.01991415023803711,
36,38,255,,-1.0,0.009525,0.01842784881591797,
37,75,257,,-1.0,0.008738,0.01875615119934082,
38,95,259,,-1.0,0.010875,0.019289016723632812,
39,77,263,,-1.0,0.010017,0.018373966217041016,
40,58,267,,-1.0,0.011246,0.019147634506225586,
41,14,273,,-1.0,0.010552,0.02020406723022461,
42,18,273,,-1.0,0.010463,0.021342992782592773,
43,98,275,,-1.0,0.012783,0.01979684829711914,
44,74,277,,-1.0,0.009188,0.019062042236328125,
45,5,278,,-1.0,0.016171,0.01952219009399414,
46,80,279,,-1.0,0.013196,0.02251887321472168,
47,35,283,,-1.0,0.011137,0.01979994773864746,
48,48,285,,-1.0,0.012519,0.017802000045776367,
49,73,285,,-1.0,0.009752,0.019752979278564453,
50,64,286,,-1.0,0.009918,0.01870584487915039,
51,62,289,,-1.0,0.010811,0.02111506462097168,
52,2,291,,-1.0,0.015463,0.023865938186645508,
53,8,291,,-1.0,0.010731,0.023788928985595703,
54,27,296,,-1.0,0.012398,0.020802021026611328,
55,85,296,,-1.0,0.013764,0.020994901657104492,
56,65,298,,-1.0,0.011159,0.019616127014160156,
57,97,299,,-1.0,0.011905,0.021320104598999023,
58,53,305,,-1.0,0.011659,0.022255659103393555,
59,94,305,,-1.0,0.012077,0.023411273956298828,
60,70,306,,-1.0,0.012288,0.022834062576293945,
61,60,310,,-1.0,0.013493,0.024580001831054688,
62,51,311,,-1.0,0.011297,0.024826765060424805,
63,7,313,,-1.0,0.011611,0.022320032119750977,
64,89,313,,-1.0,0.017255,0.01997995376586914,
65,15,322,,-1.0,0.012555,0.02048206329345703,
66,55,326,,-1.0,0.013826,0.0227510929107666,
67,6,341,,-1.0,0.012639,0.023460865020751953,
68,92,345,,-1.0,0.017103,0.02533698081970215,
69,49,351,,-1.0,0.013893,0.027833938598632812,
70,72,353,,-1.0,0.019966,0.02920079231262207,
71,63,355,,-1.0,0.019396,0.029152870178222656,
72,39,360,,-1.0,0.016419,0.024035930633544922,
73,21,361,,-1.0,0.018406,0.024652957916259766,
74,3,365,,-1.0,0.015253,0.0272979736328125,
75,79,366,,-1.0,0.013428,0.026379108428955078,
76,30,372,,-1.0,0.014926,0.027701854705810547,
77,90,373,,-1.0,0.013202,0.026593685150146484,
78,22,383,,-1.0,0.025327,0.030051231384277344,
79,37,386,,-1.0,0.013696,0.028210878372192383,
80,59,388,,-1.0,0.014488,0.026723861694335938,
81,57,405,,-1.0,0.019229,0.028714895248413086,
82,29,407,,-1.0,0.013704,0.03014087677001953,
83,9,410,,-1.0,0.01892,0.02860116958618164,
84,81,412,,-1.0,0.013099,0.027827978134155273,
85,42,423,,-1.0,0.019813,0.029457807540893555,
86,46,440,,-1.0,0.018059,0.02656698226928711,
87,78,441,,-1.0,0.016263,0.02986621856689453,
88,12,453,,-1.0,0.018425,0.02889394760131836,
89,66,456,,-1.0,0.018914,0.028898000717163086,
90,0,466,,-1.0,0.015228,0.0324101448059082,
91,45,532,,-1.0,0.019016,0.03315401077270508,
92,40,559,,-1.0,0.01623,0.03569316864013672,
93,1,1080,,-1.0,0.02727,0.06769275665283203,
94,11,1307,,-1.0,0.039051,0.07992386817932129,
95,93,1683,,-1.0,0.047312,0.09935593605041504,
96,34,1999,,-1.0,0.062687,0.11652207374572754,
97,44,2031,,-1.0,0.060228,0.11009097099304199,
98,67,2072,,-1.0,0.065031,0.11201882362365723,
99,61,2536,,-1.0,0.075161,0.1432039737701416,
