angles=2_result, angles=4_result, angles=8_result, angles=16_result, angles=2_time, angles=4_time, angles=8_time, angles=16_time
0.03, 0.019, 0.00576923, 0.00625, 12326, 4467, 3691, 1597
0.03, 0.009, 0.00576923, 0.00178571, 51325, 18854, 15811, 4081
0.048, 0.023, 0.0134615, 0.00982143, 34424, 13938, 9054, 3168
0.256, 0.154, 0.1, 0.0482143, 101528, 37965, 27120, 8070
0.04, 0.027, 0.0153846, 0.0125, 6806, 3475, 3176, 1741
0.098, 0.065, 0.0326923, 0.00982143, 38047, 16406, 11078, 4530
0.026, 0.008, 0.00288462, 0.00446429, 20585, 8590, 6261, 3324
0.117, 0.08, 0.0442308, 0.025, 73096, 28777, 16767, 9271
0.059, 0.045, 0.0259615, 0.0125, 45196, 18531, 12587, 4203
0.004, 0.001, 0, 0.000892857, 45432, 18069, 12815, 4065
0.111, 0.065, 0.0269231, 0.0125, 58280, 24623, 16607, 5309
0.044, 0.022, 0.0144231, 0.00535714, 41029, 15660, 10450, 3780
0.055, 0.024, 0.00480769, 0.00892857, 27864, 11194, 7999, 2986
0.31, 0.171, 0.0990385, 0.0598214, 63833, 26483, 19827, 5929
0.165, 0.087, 0.0596154, 0.0321429, 67050, 28583, 17608, 6253
0.31, 0.181, 0.0951923, 0.0526786, 62358, 26641, 19599, 5863
0.001, 0.004, 0.00480769, 0.00446429, 18595, 8150, 5805, 2490
0.073, 0.029, 0.0153846, 0.00892857, 41431, 17610, 11185, 4451
0.107, 0.061, 0.0317308, 0.0205357, 19240, 8028, 5657, 2332
0.161, 0.082, 0.0307692, 0.0267857, 48204, 21403, 15238, 4563
0.353, 0.188, 0.100962, 0.0455357, 70279, 30986, 20843, 6771
0.07, 0.033, 0.0163462, 0.00535714, 38411, 15156, 10253, 3712
0.118, 0.055, 0.0269231, 0.0125, 25139, 10885, 7371, 2936
0.141, 0.081, 0.0432692, 0.0142857, 49945, 19909, 13434, 4505
0.116, 0.069, 0.0375, 0.0241071, 69064, 30205, 19488, 6149
0.29, 0.185, 0.0788462, 0.0535714, 109571, 47300, 30869, 9518
0.238, 0.131, 0.0721154, 0.0419643, 93565, 40968, 28270, 8401
0.154, 0.089, 0.0509615, 0.025, 41314, 17441, 11306, 3853
0.005, 0.002, 0.00288462, 0.00178571, 7827, 4487, 3091, 1764
0.128, 0.075, 0.0394231, 0.0178571, 41829, 18500, 11371, 4150
0.181, 0.093, 0.0519231, 0.0285714, 48233, 20809, 13787, 4728
0.174, 0.094, 0.0596154, 0.03125, 43256, 18119, 13748, 4186
0.161, 0.071, 0.0509615, 0.0223214, 30967, 19615, 13809, 4604
0.048, 0.021, 0.025, 0.0125, 15177, 6472, 4791, 2338
0.013, 0.011, 0.00384615, 0.000892857, 21927, 9499, 6592, 2786
0.187, 0.089, 0.0480769, 0.0205357, 59238, 26634, 17002, 7682
0.082, 0.042, 0.0346154, 0.00982143, 36735, 17896, 13889, 5312
0.035, 0.009, 0.00673077, 0.000892857, 29432, 12455, 8644, 3675
0.008, 0.009, 0.00673077, 0.00267857, 12273, 4885, 3552, 2236
0.201, 0.081, 0.0298077, 0.025, 49057, 19723, 14110, 4289
0.154, 0.083, 0.0423077, 0.0178571, 45363, 19678, 12468, 4557
0.181, 0.073, 0.0394231, 0.0223214, 37713, 20088, 13424, 4372
0.042, 0.03, 0.0134615, 0.0116071, 14644, 5762, 4411, 1925
0.143, 0.072, 0.0442308, 0.0116071, 31100, 13310, 8572, 3321
0.182, 0.104, 0.0644231, 0.0294643, 38128, 16654, 11701, 4146
0.134, 0.056, 0.0384615, 0.0241071, 30488, 20544, 13251, 4621
0.136, 0.066, 0.0211538, 0.0196429, 13547, 9752, 8269, 2579
0.074, 0.044, 0.025, 0.00803571, 15023, 11007, 8373, 3305
0.006, 0.002, 0, 0.000892857, 7811, 5473, 4360, 2122
0.093, 0.031, 0.0182692, 0.00357143, 19039, 13792, 8364, 3634
0.144, 0.074, 0.0403846, 0.0214286, 29364, 19769, 11447, 4370
0.253, 0.211, 0.109615, 0.0741071, 202581, 105462, 69152, 28595
0.283, 0.164, 0.0673077, 0.0517857, 70110, 35978, 25348, 7626
0.126, 0.07, 0.0230769, 0.0196429, 37206, 19640, 15181, 4465
0.019, 0.023, 0.0105769, 0, 13535, 11977, 9430, 3052
0.031, 0.014, 0.0115385, 0.00535714, 32721, 17820, 10974, 4027
0.195, 0.118, 0.0605769, 0.0267857, 27679, 22184, 14561, 5028
0.204, 0.135, 0.0769231, 0.0294643, 42066, 30361, 18307, 6213
0.189, 0.101, 0.0471154, 0.0303571, 20610, 18170, 13500, 4242
0.187, 0.11, 0.0384615, 0.0241071, 30299, 18132, 13263, 4253
0.181, 0.116, 0.0894231, 0.0276786, 38890, 21626, 16743, 5340
0.003, 0.004, 0.00384615, 0.000892857, 3986, 3530, 3381, 1705
0.056, 0.023, 0.0201923, 0.0169643, 8270, 5000, 3843, 1786
0.47, 0.351, 0.236538, 0.134821, 209113, 131604, 97024, 27526
0.093, 0.05, 0.0278846, 0.0160714, 13529, 12248, 9421, 3133
0.25, 0.119, 0.0490385, 0.0330357, 25029, 21895, 14602, 6769
0.014, 0.015, 0.00384615, 0.00535714, 2783, 2620, 2234, 1284
0.048, 0.034, 0.0173077, 0.00625, 27462, 15433, 9958, 3548
0.024, 0.013, 0.0134615, 0.00535714, 5313, 3453, 3363, 1591
0.008, 0.002, 0.00288462, 0, 3389, 3256, 3898, 1452
0.097, 0.055, 0.0307692, 0.0169643, 46480, 24162, 16465, 4820
0.356, 0.188, 0.130769, 0.0696429, 71315, 60313, 40099, 11460
0.05, 0.026, 0.0115385, 0.0160714, 9215, 5520, 4300, 1868
0.089, 0.044, 0.025, 0.0214286, 35395, 29148, 20375, 5512
0.061, 0.024, 0.00769231, 0.00535714, 18458, 15899, 11400, 3719
0.211, 0.146, 0.0990385, 0.0348214, 33664, 28824, 11538, 7358
0.204, 0.102, 0.0548077, 0.0294643, 29381, 25132, 10295, 7543
0.015, 0.014, 0.00288462, 0.00357143, 13184, 11696, 5360, 2767
0.047, 0.027, 0.0144231, 0.00714286, 25884, 13810, 7329, 3281
0.002, 0.001, 0.000961538, 0, 22698, 19019, 8083, 4161
0.201, 0.105, 0.0471154, 0.0276786, 26358, 21301, 9984, 4900
0.151, 0.092, 0.0394231, 0.0339286, 22591, 18706, 7906, 3879
0.101, 0.066, 0.0173077, 0.0232143, 10706, 9225, 4311, 2537
0.084, 0.059, 0.0298077, 0.0151786, 35007, 21338, 7981, 4652
0.056, 0.026, 0.0153846, 0.00982143, 17564, 13551, 4736, 3344
0.094, 0.052, 0.0355769, 0.0303571, 11991, 9839, 3640, 2708
0.107, 0.05, 0.0278846, 0.0125, 21843, 17637, 6358, 5424
0.031, 0.009, 0.0105769, 0.00267857, 14675, 12998, 4727, 3475
0.071, 0.053, 0.0298077, 0.0151786, 46375, 25202, 8433, 5041
0.171, 0.098, 0.0538462, 0.0330357, 18259, 10040, 3750, 3370
0.22, 0.126, 0.0567308, 0.0339286, 41768, 24802, 8810, 7106
0.089, 0.051, 0.0346154, 0.0178571, 9995, 8714, 3384, 2255
0.303, 0.185, 0.101923, 0.06875, 33209, 28905, 10463, 6139
0.2, 0.109, 0.05, 0.0294643, 21171, 17562, 6133, 3746
0.181, 0.126, 0.0567308, 0.0285714, 44219, 25077, 13705, 8452
0.123, 0.065, 0.0471154, 0.0232143, 16294, 14357, 7335, 3483
0.14, 0.087, 0.0567308, 0.0151786, 39418, 23387, 12688, 5121
0.043, 0.021, 0.0105769, 0.00625, 15656, 11976, 4361, 2937
0.055, 0.029, 0.0125, 0.0160714, 8832, 6615, 2919, 2112
0.439, 0.207, 0.139423, 0.101786, 177613, 99823, 31811, 19356
